,equity
2021-03-08 00:00:00+00:00,11282.392938747545
2021-03-09 00:00:00+00:00,11282.392938747545
2021-03-10 00:00:00+00:00,11282.392938747545
2021-03-11 00:00:00+00:00,11282.392938747545
2021-03-12 00:00:00+00:00,11282.392938747545
2021-03-15 00:00:00+00:00,11282.392938747545
2021-03-16 00:00:00+00:00,11282.392938747545
2021-03-17 00:00:00+00:00,11282.392938747545
2021-03-18 00:00:00+00:00,11282.392938747545
2021-03-19 00:00:00+00:00,11282.392938747545
2021-03-22 00:00:00+00:00,11282.392938747545
2021-03-23 00:00:00+00:00,11094.128459271851
2021-03-24 00:00:00+00:00,11094.128459271851
2021-03-25 00:00:00+00:00,11094.128459271851
2021-03-26 00:00:00+00:00,11094.128459271851
2021-03-29 00:00:00+00:00,11094.128459271851
2021-03-30 00:00:00+00:00,11146.184901939741
2021-03-31 00:00:00+00:00,11146.184901939741
2021-04-01 00:00:00+00:00,11175.181619462905
2021-04-02 00:00:00+00:00,11175.181619462905
2021-04-05 00:00:00+00:00,11081.455534421759
2021-04-06 00:00:00+00:00,11081.455534421759
2021-04-07 00:00:00+00:00,10988.786709888473
2021-04-08 00:00:00+00:00,10988.786709888473
2021-04-09 00:00:00+00:00,10988.786709888473
2021-04-12 00:00:00+00:00,10988.786709888473
2021-04-13 00:00:00+00:00,10988.786709888473
2021-04-14 00:00:00+00:00,10988.590235682626
2021-04-15 00:00:00+00:00,10988.590235682626
2021-04-16 00:00:00+00:00,10988.590235682626
2021-04-19 00:00:00+00:00,10988.590235682626
2021-04-20 00:00:00+00:00,10988.590235682626
2021-04-21 00:00:00+00:00,10988.590235682626
2021-04-22 00:00:00+00:00,10988.590235682626
2021-04-23 00:00:00+00:00,10988.590235682626
2021-04-26 00:00:00+00:00,11040.068101337605
2021-04-27 00:00:00+00:00,11040.068101337605
2021-04-28 00:00:00+00:00,11019.457624146313
2021-04-29 00:00:00+00:00,11047.69247107294
2021-04-30 00:00:00+00:00,11047.0432117974
2021-05-03 00:00:00+00:00,11047.0432117974
2021-05-04 00:00:00+00:00,11047.0432117974
2021-05-05 00:00:00+00:00,10954.885312859917
2021-05-06 00:00:00+00:00,10954.885312859917
2021-05-07 00:00:00+00:00,10987.652953258763
2021-05-10 00:00:00+00:00,10987.652953258763
2021-05-11 00:00:00+00:00,10987.652953258763
2021-05-12 00:00:00+00:00,10987.652953258763
2021-05-13 00:00:00+00:00,10987.652953258763
2021-05-14 00:00:00+00:00,10987.652953258763
2021-05-17 00:00:00+00:00,10987.652953258763
2021-05-18 00:00:00+00:00,10971.019900914505
2021-05-19 00:00:00+00:00,10971.019900914505
2021-05-20 00:00:00+00:00,10971.019900914505
2021-05-21 00:00:00+00:00,10971.019900914505
2021-05-24 00:00:00+00:00,10971.019900914505
2021-05-25 00:00:00+00:00,10971.019900914505
2021-05-26 00:00:00+00:00,10971.019900914505
2021-05-27 00:00:00+00:00,10969.821102971822
