config,ret,dd,sharpe,wr,tpm,pf,trades,pos_years,y2020,y2022,y2024,y2025,halt20_ret,halt20_dd
r2.0_0.75_tp3.0_a18_20,6.0,28.3,0.115,33.72,15.53,1.015,1118,3,4.421326052882857,-0.4814216932064297,0.8357816908322935,-3.38970468873121,9.55,20.17
r2.0_0.75_tp3.0_a18_22,14.3,27.49,0.182,32.57,13.43,1.035,967,4,4.703110705867464,0.9504492031751521,0.7239865770745979,-4.527074101066441,19.06,20.17
r2.0_0.75_tp3.0_a18_25,13.89,27.51,0.179,30.47,11.17,1.036,804,4,6.083308561374112,0.24663209251898355,1.6304810596237118,-6.113327932875922,20.16,20.13
r2.0_0.75_tp3.0_a20_20,-17.17,31.23,-0.123,33.09,15.16,0.946,1091,2,-11.078698979443313,9.396944430458486,-8.10510416292134,-10.771201951316645,-10.44,20.28
r2.0_0.75_tp3.0_a20_22,-19.23,31.02,-0.148,31.81,13.06,0.937,940,2,-10.70146856639701,7.763054213741349,-8.0042201218676,-11.824441140401355,-10.33,20.48
r2.0_0.75_tp3.0_a20_25,-24.17,31.77,-0.22,29.47,10.79,0.914,777,2,-10.914391514705258,3.3496539848088203,-6.799612704214275,-13.290356845720686,-11.1,20.01
r2.0_0.75_tp4.0_a15_20,21.35,30.76,0.225,31.07,15.74,1.05,1133,2,-4.213419813292251,4.1301211501259205,-4.268653953336942,-1.238526717591426,29.05,20.35
r2.0_0.75_tp4.0_a15_22,30.79,30.41,0.284,29.53,13.64,1.071,982,2,-4.64310664057066,3.6811175961670273,-4.36729104854674,-2.3957761482533035,-7.47,20.11
r2.0_0.75_tp4.0_a15_25,34.4,31.01,0.304,26.86,11.38,1.08,819,2,-3.513795738440373,2.883257691406982,-3.5097834028338326,-3.9963711280365466,46.95,20.03
r2.0_0.75_tp4.0_a18_20,7.3,36.19,0.127,30.65,15.5,1.017,1116,1,-5.821980010755845,-0.21436721533728553,-9.954314223566051,-4.80627385613227,26.11,20.36
r2.0_0.75_tp4.0_a18_22,8.4,35.42,0.134,29.02,13.41,1.02,965,1,-5.413589757642956,-0.6030859912905306,-10.051114760602609,-5.922498517781105,-8.73,20.04
r2.0_0.75_tp4.0_a18_25,13.63,36.07,0.17,26.18,11.14,1.032,802,1,-4.846520122037623,-1.4175694541141537,-9.244695813797065,-7.463433112398555,40.6,19.87
r2.0_0.75_tp4.0_a20_20,-6.39,40.49,0.017,30.57,15.09,0.984,1086,2,-6.384143247165463,12.32967192948382,-16.57102703167954,-10.9280604440385,-5.05,20.09
r2.0_0.75_tp4.0_a20_22,-5.1,38.73,0.03,28.88,12.99,0.987,935,2,-5.980670679650634,10.417847353385445,-17.002565712220342,-11.97222798522386,-5.06,20.39
r2.0_0.75_tp4.0_a20_25,-10.13,40.65,-0.018,25.91,10.72,0.973,772,2,-6.072141536321585,9.709438062681253,-15.922232051508844,-13.413591785703638,-6.33,20.3
