date,open,high,low,close,volume
2023-04-06 20:00:00,1.09229,1.09233,1.09156,1.09194,6287.16
2023-04-07 00:00:00,1.09195,1.0924,1.09141,1.09197,8649.87
2023-04-07 04:00:00,1.09196,1.09207,1.09113,1.09154,11493.21
2023-04-07 08:00:00,1.09154,1.09216,1.09104,1.09173,10464.9
2023-04-07 12:00:00,1.09173,1.09176,1.08762,1.09114,33396.9
2023-04-07 16:00:00,1.09113,1.09123,1.08993,1.09037,11186.17
2023-04-07 20:00:00,1.09036,1.0907,1.08974,1.09029,7361.22
2023-04-09 20:00:00,1.0898,1.09134,1.0898,1.09129,9989.51
2023-04-10 00:00:00,1.09132,1.09145,1.08968,1.08991,28957.68
2023-04-10 04:00:00,1.08992,1.09169,1.08908,1.09166,22082.54
2023-04-10 08:00:00,1.09167,1.09171,1.08864,1.08888,31410.18
2023-04-10 12:00:00,1.08887,1.08914,1.08313,1.08391,78342.92
2023-04-10 16:00:00,1.08391,1.08629,1.0838,1.08629,30412.36
2023-04-10 20:00:00,1.08628,1.08699,1.08581,1.08687,18228.13
2023-04-11 00:00:00,1.08687,1.08877,1.0867,1.08815,45023.5
2023-04-11 04:00:00,1.08814,1.09044,1.08808,1.08954,62137.21
2023-04-11 08:00:00,1.08953,1.09266,1.08944,1.0905,71279.63
2023-04-11 12:00:00,1.0905,1.09279,1.09022,1.09046,81562.07
2023-04-11 16:00:00,1.09048,1.09168,1.0896,1.0914,30454.9
2023-04-11 20:00:00,1.0914,1.09176,1.09095,1.09163,5587.97
2023-04-12 00:00:00,1.09163,1.09287,1.09147,1.09241,27452.01
2023-04-12 04:00:00,1.0924,1.09373,1.09159,1.09266,44474.75
2023-04-12 08:00:00,1.09265,1.09359,1.0918,1.09224,46767.63
2023-04-12 12:00:00,1.09225,1.09998,1.09196,1.09865,157704.19
2023-04-12 16:00:00,1.09864,1.10004,1.09849,1.09883,47427.69
2023-04-12 20:00:00,1.09884,1.09995,1.09866,1.09968,9249.62
2023-04-13 00:00:00,1.09967,1.10049,1.09836,1.09883,40336.5
2023-04-13 04:00:00,1.09882,1.10006,1.09767,1.09991,47199.09
2023-04-13 08:00:00,1.09991,1.10316,1.09991,1.10099,64001.58
2023-04-13 12:00:00,1.101,1.10676,1.10083,1.10529,110610.2
2023-04-13 16:00:00,1.1053,1.10596,1.1044,1.10464,27770.78
2023-04-13 20:00:00,1.10466,1.10516,1.10451,1.10516,6031.09
2023-04-14 00:00:00,1.10517,1.10751,1.10488,1.10703,38077.31
2023-04-14 04:00:00,1.10702,1.10758,1.10593,1.10653,46075.71
2023-04-14 08:00:00,1.10653,1.10666,1.10477,1.10538,53688.8
2023-04-14 12:00:00,1.1054,1.10739,1.0975,1.09787,161068.01
2023-04-14 16:00:00,1.09789,1.09992,1.09722,1.09964,37908.43
2023-04-14 20:00:00,1.09964,1.09977,1.0992,1.09922,3125.18
2023-04-16 20:00:00,1.09888,1.09942,1.09832,1.09843,10756.23
2023-04-17 00:00:00,1.09844,1.09914,1.09615,1.09762,33420.56
2023-04-17 04:00:00,1.09761,1.09997,1.09756,1.09919,43096.31
2023-04-17 08:00:00,1.09918,1.09933,1.0964,1.09767,62425.55
2023-04-17 12:00:00,1.09766,1.09842,1.09091,1.09139,116641.62
2023-04-17 16:00:00,1.0914,1.09311,1.09105,1.09307,30167.28
2023-04-17 20:00:00,1.09307,1.09307,1.09233,1.09244,6913.98
2023-04-18 00:00:00,1.09245,1.0939,1.09222,1.09357,33162.84
2023-04-18 04:00:00,1.09356,1.09707,1.09337,1.09702,51698.39
2023-04-18 08:00:00,1.09702,1.09828,1.09656,1.09663,65163.09
2023-04-18 12:00:00,1.09662,1.09781,1.09427,1.09571,84803.09
2023-04-18 16:00:00,1.09573,1.09747,1.09547,1.09708,29238.11
2023-04-18 20:00:00,1.09707,1.09764,1.0968,1.09748,23181.81
2023-04-19 00:00:00,1.09749,1.0984,1.09649,1.09742,33159.39
2023-04-19 04:00:00,1.09742,1.09745,1.09463,1.09625,61809.69
2023-04-19 08:00:00,1.09626,1.09631,1.09172,1.09311,82807.28
2023-04-19 12:00:00,1.09311,1.09793,1.09272,1.0953,91885.94
2023-04-19 16:00:00,1.0953,1.09667,1.09516,1.09548,33108.51
2023-04-19 20:00:00,1.09548,1.09579,1.0947,1.09516,10389.91
2023-04-20 00:00:00,1.09517,1.09616,1.09494,1.09594,38619.82
2023-04-20 04:00:00,1.09593,1.0973,1.09498,1.09612,53746.38
2023-04-20 08:00:00,1.09612,1.09783,1.09536,1.09547,73414.23
2023-04-20 12:00:00,1.09546,1.09895,1.09334,1.09694,123842.43
2023-04-20 16:00:00,1.09696,1.09725,1.09562,1.09634,35466.92
2023-04-20 20:00:00,1.09634,1.09719,1.09632,1.09676,11105.3
2023-04-21 00:00:00,1.09676,1.09731,1.09618,1.09639,28543.59
2023-04-21 04:00:00,1.09639,1.09639,1.0938,1.09561,54883.09
2023-04-21 08:00:00,1.09561,1.09857,1.0949,1.09813,71013.73
2023-04-21 12:00:00,1.09815,1.09936,1.09425,1.09719,127407.22
2023-04-21 16:00:00,1.0972,1.09902,1.0969,1.09902,36934.48
2023-04-21 20:00:00,1.09901,1.09929,1.09851,1.09874,4792.91
2023-04-23 20:00:00,1.09913,1.09962,1.09864,1.09916,10191.61
2023-04-24 00:00:00,1.09916,1.0995,1.09798,1.09815,36899.9
2023-04-24 04:00:00,1.09813,1.09881,1.09658,1.09868,46435.45
2023-04-24 08:00:00,1.09869,1.10204,1.09839,1.10023,72592.88
2023-04-24 12:00:00,1.10022,1.10368,1.09992,1.10258,98776.31
2023-04-24 16:00:00,1.10258,1.105,1.10247,1.10431,30266.39
2023-04-24 20:00:00,1.10433,1.1057,1.10429,1.1057,10895.05
2023-04-25 00:00:00,1.10573,1.1067,1.10514,1.10527,41277.65
2023-04-25 04:00:00,1.10528,1.10588,1.10245,1.10326,73811.62
2023-04-25 08:00:00,1.10326,1.10439,1.10094,1.10167,61478.11
2023-04-25 12:00:00,1.10166,1.10294,1.09685,1.09685,106121.62
2023-04-25 16:00:00,1.09685,1.09759,1.09641,1.09698,46371.89
2023-04-25 20:00:00,1.097,1.09804,1.09668,1.09779,15144.9
2023-04-26 00:00:00,1.09778,1.09799,1.09683,1.09751,37610.43
2023-04-26 04:00:00,1.0975,1.10258,1.0972,1.10192,59493.07
2023-04-26 08:00:00,1.10191,1.10626,1.10159,1.10461,98965.19
2023-04-26 12:00:00,1.1046,1.10952,1.10355,1.10509,138258.97
2023-04-26 16:00:00,1.10509,1.10528,1.10323,1.10356,46528.2
2023-04-26 20:00:00,1.10356,1.10463,1.1035,1.1045,13654.82
2023-04-27 00:00:00,1.1045,1.1054,1.10389,1.10456,35511.81
2023-04-27 04:00:00,1.10456,1.10634,1.10398,1.10495,55125.44
2023-04-27 08:00:00,1.10496,1.10593,1.10306,1.10344,63251.03
2023-04-27 12:00:00,1.10344,1.10575,1.0992,1.10154,144174.17
2023-04-27 16:00:00,1.10156,1.10298,1.10055,1.1024,35350.0
2023-04-27 20:00:00,1.10241,1.10338,1.1022,1.10315,12391.72
